city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Nagpur,24,LSTM,B,56449,12078,70,0.5953,29.83,41.79,69.35,1.7576
Pune,1,LSTM,B,49301,10547,64,0.0031,55.38,82.11,54.5,1.569
Pune,6,LSTM,B,49298,10545,64,-0.2515,70.67,92.01,54.74,1.5616
Pune,24,LSTM,B,49285,10543,64,0.0078,55.42,81.94,157.57,1.5824
Singrauli,1,LSTM,B,48629,10403,64,0.5853,47.1,69.42,154.68,1.5713
Singrauli,6,LSTM,B,48626,10401,64,0.4402,57.77,80.65,98.82,1.5726
Singrauli,24,LSTM,B,48613,10399,64,0.4121,58.95,82.67,98.74,1.5672
Surat,1,LSTM,B,18278,3899,58,0.3205,42.18,73.73,41.66,0.8478
Surat,6,LSTM,B,18274,3898,58,0.2255,45.79,78.72,48.15,0.8631
Surat,24,LSTM,B,18262,3895,58,0.1871,55.54,80.59,35.27,0.838
Thane,1,LSTM,B,14339,3055,71,0.692,18.38,26.51,31.99,0.744
Thane,6,LSTM,B,14336,3054,71,0.6252,19.97,29.24,21.27,0.7261
Thane,24,LSTM,B,14323,3052,71,0.4788,25.69,34.48,17.59,0.7304
Vapi,1,LSTM,B,40774,8720,70,0.4518,39.92,56.69,91.01,1.352
Vapi,6,LSTM,B,40771,8719,70,0.3742,44.01,60.57,54.57,1.3837
Vapi,24,LSTM,B,40758,8716,70,0.1747,51.79,69.57,64.08,1.3727
bhopal,1,LSTM,B,30435,6504,72,0.6789,28.63,44.61,62.56,1.1594
bhopal,6,LSTM,B,30432,6503,72,0.6328,31.25,47.71,62.74,1.1333
bhopal,24,LSTM,B,30419,6501,72,0.5799,35.65,51.01,37.44,1.1296
vishakhapattanam,1,LSTM,B,24205,5169,72,0.6868,30.04,47.96,72.29,0.9862
vishakhapattanam,6,LSTM,B,24201,5168,72,0.5926,35.89,54.7,44.37,0.9868
vishakhapattanam,24,LSTM,B,24189,5165,72,0.4916,40.36,61.12,35.94,0.9695
Ahmedabad,1,BiLSTM,B,19740,4212,70,0.6166,32.15,48.29,107.9,1.744
Ahmedabad,6,BiLSTM,B,19737,4211,70,0.57,35.31,51.14,75.0,1.706
Ahmedabad,24,BiLSTM,B,19724,4209,70,0.5272,36.36,53.64,84.9,1.66
Chennai,1,BiLSTM,B,30857,6594,71,0.2927,17.93,29.08,178.0,2.177
Chennai,6,BiLSTM,B,30853,6594,71,0.1571,19.46,31.75,147.0,2.214
Chennai,24,BiLSTM,B,30841,6591,71,0.0691,18.4,33.37,133.6,2.107
Delhi_NCR,1,BiLSTM,B,54368,11632,72,0.8601,33.95,47.03,332.6,3.03
Delhi_NCR,6,BiLSTM,B,54364,11632,72,0.7683,45.53,60.54,234.2,2.998
Delhi_NCR,24,BiLSTM,B,54352,11628,72,0.7066,49.09,68.12,144.9,3.146
GandhiNagar,1,BiLSTM,B,41017,8772,70,0.5622,18.04,27.47,325.3,2.578
GandhiNagar,6,BiLSTM,B,41014,8771,70,0.3764,22.78,32.79,218.3,2.58
GandhiNagar,24,BiLSTM,B,41001,8768,70,0.3241,24.2,34.14,140.8,2.158
Hyderabad,1,BiLSTM,B,76970,16476,72,0.4777,20.41,27.24,516.5,4.255
Hyderabad,6,BiLSTM,B,76966,16475,72,0.4029,22.5,29.13,240.7,4.175
Hyderabad,24,BiLSTM,B,76954,16472,72,0.3097,24.71,31.32,325.4,4.032
Indore,1,BiLSTM,B,30519,6522,72,0.7021,23.76,38.22,181.1,2.132
Indore,6,BiLSTM,B,30516,6521,72,0.5263,29.72,48.2,99.4,2.169
Indore,24,BiLSTM,B,30503,6519,72,0.4956,31.55,49.74,108.0,2.09
Jaipur,1,BiLSTM,B,29600,6325,71,0.486,28.43,44.16,180.7,2.078
Jaipur,6,BiLSTM,B,29597,6324,71,0.2968,33.13,51.65,181.6,2.039
Jaipur,24,BiLSTM,B,29584,6322,71,0.1669,37.96,56.23,131.9,2.164
Jodhpur,1,BiLSTM,B,30305,6476,71,-3.1787,144.17,185.95,211.5,2.172
Jodhpur,6,BiLSTM,B,30302,6475,71,-1.9181,119.98,155.36,106.2,2.183
Jodhpur,24,BiLSTM,B,30289,6473,71,-2.7018,126.06,174.87,117.6,2.088
Mumbai,1,BiLSTM,B,38058,8138,72,0.509,24.06,43.47,225.2,2.449
Mumbai,6,BiLSTM,B,38055,8137,72,0.3005,30.37,51.89,152.1,2.476
Mumbai,24,BiLSTM,B,38042,8134,72,0.2044,32.59,55.35,130.3,2.398
Mumbai_suburbs,1,BiLSTM,B,15112,3221,71,0.7315,16.95,25.2,96.3,1.481
Mumbai_suburbs,6,BiLSTM,B,15109,3220,71,0.6478,20.32,28.85,67.1,1.507
Mumbai_suburbs,24,BiLSTM,B,15096,3217,71,0.5059,25.04,34.16,72.7,1.548
Nagpur,1,BiLSTM,B,56465,12082,70,0.7859,20.13,30.4,387.5,3.126
Nagpur,6,BiLSTM,B,56461,12081,70,0.6868,25.59,36.77,210.4,3.157
Nagpur,24,BiLSTM,B,56449,12078,70,0.6232,28.62,40.33,220.8,3.296
Pune,1,BiLSTM,B,49301,10547,64,-0.076,60.88,85.31,452.7,2.892
Pune,6,BiLSTM,B,49298,10545,64,-0.0652,60.67,84.89,259.6,2.86
Pune,24,BiLSTM,B,49285,10543,64,-0.201,65.09,90.14,302.3,2.857
Singrauli,1,BiLSTM,B,48629,10403,64,0.5996,46.19,68.21,363.5,2.824
Singrauli,6,BiLSTM,B,48626,10401,64,0.466,56.4,78.78,238.6,2.869
Singrauli,24,BiLSTM,B,48613,10399,64,0.4024,61.07,83.34,205.9,2.83
Surat,1,BiLSTM,B,18278,3899,58,0.2884,40.08,75.45,248.2,1.617
Surat,6,BiLSTM,B,18274,3898,58,0.2258,44.78,78.7,121.4,1.601
Surat,24,BiLSTM,B,18262,3895,58,0.1344,58.73,83.16,70.7,1.566
Thane,1,BiLSTM,B,14339,3055,71,0.6722,19.06,27.35,50.0,1.43
Thane,6,BiLSTM,B,14336,3054,71,0.6193,20.87,29.48,107.3,1.447
Thane,24,BiLSTM,B,14323,3052,71,0.5298,23.71,32.75,89.4,1.501
Vapi,1,BiLSTM,B,40774,8720,70,0.4508,39.86,56.74,262.7,2.522
Vapi,6,BiLSTM,B,40771,8719,70,0.3889,43.16,59.86,172.2,2.529
Vapi,24,BiLSTM,B,40758,8716,70,0.2086,50.57,68.12,150.4,2.501
bhopal,1,BiLSTM,B,30435,6504,72,0.7051,28.37,42.75,125.4,2.176
bhopal,6,BiLSTM,B,30432,6503,72,0.6242,31.65,48.26,126.2,2.109
bhopal,24,BiLSTM,B,30419,6501,72,0.5938,35.19,50.16,116.7,2.199
vishakhapattanam,1,BiLSTM,B,24205,5169,72,0.6975,29.52,47.13,143.6,1.947
vishakhapattanam,6,BiLSTM,B,24201,5168,72,0.6183,35.33,52.95,89.2,1.904
vishakhapattanam,24,BiLSTM,B,24189,5165,72,0.5153,39.48,59.68,85.8,1.832
Ahmedabad,1,CNN-BiLSTM,B,19740,4212,70,0.6029,32.09,49.14,30.0,0.984
Ahmedabad,6,CNN-BiLSTM,B,19737,4211,70,0.5836,34.0,50.33,31.7,0.932
Ahmedabad,24,CNN-BiLSTM,B,19724,4209,70,0.4388,39.03,58.44,25.5,0.957
Chennai,1,CNN-BiLSTM,B,30857,6594,71,0.373,15.74,27.38,69.8,1.194
Chennai,6,CNN-BiLSTM,B,30853,6594,71,0.1411,18.63,32.05,39.2,1.245
Chennai,24,CNN-BiLSTM,B,30841,6591,71,0.046,17.42,33.78,40.9,1.191
Delhi_NCR,1,CNN-BiLSTM,B,54368,11632,72,0.8603,33.61,47.01,86.0,1.702
Delhi_NCR,6,CNN-BiLSTM,B,54364,11632,72,0.7784,43.87,59.2,96.1,1.67
Delhi_NCR,24,CNN-BiLSTM,B,54352,11628,72,0.7084,49.78,67.91,61.1,1.688
GandhiNagar,1,CNN-BiLSTM,B,41017,8772,70,0.5648,17.67,27.4,80.7,1.402
GandhiNagar,6,CNN-BiLSTM,B,41014,8771,70,0.3628,22.91,33.15,75.3,1.409
GandhiNagar,24,CNN-BiLSTM,B,41001,8768,70,0.308,24.47,34.55,48.9,1.172
Hyderabad,1,CNN-BiLSTM,B,76970,16476,72,0.4755,20.53,27.3,136.9,2.247
Hyderabad,6,CNN-BiLSTM,B,76966,16475,72,0.4551,21.22,27.83,158.4,2.189
Hyderabad,24,CNN-BiLSTM,B,76954,16472,72,0.3635,23.25,30.08,143.1,2.204
Indore,1,CNN-BiLSTM,B,30519,6522,72,0.6718,24.71,40.11,59.3,1.19
Indore,6,CNN-BiLSTM,B,30516,6521,72,0.5338,28.71,47.82,45.8,1.222
Indore,24,CNN-BiLSTM,B,30503,6519,72,0.5145,31.26,48.8,57.2,1.213
Jaipur,1,CNN-BiLSTM,B,29600,6325,71,0.4348,30.73,46.3,78.5,1.189
Jaipur,6,CNN-BiLSTM,B,29597,6324,71,0.2912,32.9,51.86,46.8,1.215
Jaipur,24,CNN-BiLSTM,B,29584,6322,71,0.1298,38.78,57.46,41.7,1.213
Jodhpur,1,CNN-BiLSTM,B,30305,6476,71,-1.276,102.94,137.24,52.7,1.21
Jodhpur,6,CNN-BiLSTM,B,30302,6475,71,-19.1984,355.85,408.75,40.9,1.218
Jodhpur,24,CNN-BiLSTM,B,30289,6473,71,-1.9629,127.84,156.45,40.8,1.178
Mumbai,1,CNN-BiLSTM,B,38058,8138,72,0.4846,26.98,44.54,72.2,1.372
Mumbai,6,CNN-BiLSTM,B,38055,8137,72,0.3195,28.56,51.18,51.5,1.355
Mumbai,24,CNN-BiLSTM,B,38042,8134,72,0.1998,32.89,55.51,45.3,1.388
Mumbai_suburbs,1,CNN-BiLSTM,B,15112,3221,71,0.6797,18.47,27.52,38.9,0.864
Mumbai_suburbs,6,CNN-BiLSTM,B,15109,3220,71,0.6483,20.07,28.83,33.8,0.909
