city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s,train_rows,n_features,epochs,status,n_rows,horizon
vishakhapattanam,LSTM,A,,,,0.8534,19.53,32.81,123.7,1.903,34614.0,33.0,32.0,ok,,
Ahmedabad,BiLSTM,A,,,32.0,0.8321,22.25,31.96,277.5,3.328,,,,,28236.0,
Chennai,BiLSTM,A,,,33.0,0.4047,18.16,26.68,513.2,3.951,,,,,44117.0,
Delhi_NCR,BiLSTM,A,,,34.0,0.9263,23.79,34.15,623.6,5.35,,,,,77704.0,
GandhiNagar,BiLSTM,A,,,32.0,0.7712,11.95,19.86,396.7,4.693,,,,,58632.0,
Hyderabad,BiLSTM,A,,,34.0,0.5375,18.42,25.64,845.4,6.702,,,,,109993.0,
Indore,BiLSTM,A,,,32.0,0.8874,15.42,23.5,267.0,3.924,,,,,43635.0,
Jaipur,BiLSTM,A,,,33.0,0.705,20.64,33.45,328.4,3.876,,,,,42322.0,
Jodhpur,BiLSTM,A,,,33.0,-1.1037,100.72,131.94,247.8,4.036,,,,,43329.0,
Mumbai,BiLSTM,A,,,33.0,0.7427,17.39,31.47,335.3,4.329,,,,,54405.0,
Mumbai_suburbs,BiLSTM,A,,,33.0,0.803,15.05,21.58,149.4,3.052,,,,,21625.0,
Nagpur,BiLSTM,A,,,32.0,0.9107,13.17,19.63,466.0,5.435,,,,,80700.0,
Pune,BiLSTM,A,,,32.0,-0.2789,69.48,93.01,394.6,5.084,,,,,70466.0,
Singrauli,BiLSTM,A,,,22.0,0.8292,27.99,44.54,721.3,5.119,,,,,69506.0,
Surat,BiLSTM,A,,,30.0,0.6301,32.32,54.4,280.5,3.206,,,,,26147.0,
Thane,BiLSTM,A,,,33.0,0.7353,17.71,24.58,175.5,3.002,,,,,20521.0,
Vapi,BiLSTM,A,,,31.0,0.6297,30.69,46.59,647.1,4.493,,,,,58285.0,
bhopal,BiLSTM,A,,,32.0,0.7841,22.51,36.58,217.9,3.953,,,,,43515.0,
vishakhapattanam,BiLSTM,A,,,34.0,0.8681,18.57,31.13,296.6,3.544,,,,,34614.0,
Ahmedabad,CNN-BiLSTM,A,,,17.0,0.5595,37.12,51.76,75.7,0.9,,,,,28236.0,
Chennai,CNN-BiLSTM,A,,,17.0,0.0442,21.18,33.81,111.6,1.082,,,,,44117.0,
Delhi_NCR,CNN-BiLSTM,A,,,17.0,0.6863,55.74,70.44,46.6,1.532,,,,,77704.0,
GandhiNagar,CNN-BiLSTM,A,,,17.0,0.4606,20.66,30.5,98.8,1.267,,,,,58632.0,
Hyderabad,CNN-BiLSTM,A,,,17.0,0.1233,27.92,35.3,66.7,1.949,,,,,109993.0,
Indore,CNN-BiLSTM,A,,,17.0,0.463,35.14,51.32,27.9,1.08,,,,,43635.0,
Jaipur,CNN-BiLSTM,A,,,17.0,-0.2508,51.8,68.88,28.7,1.064,,,,,42322.0,
Jodhpur,CNN-BiLSTM,A,,,17.0,0.2745,58.8,77.48,29.6,1.085,,,,,43329.0,
Mumbai,CNN-BiLSTM,A,,,17.0,-0.21,48.51,68.24,33.5,1.218,,,,,54405.0,
Mumbai_suburbs,CNN-BiLSTM,A,,,17.0,0.6565,20.47,28.5,44.2,0.802,,,,,21625.0,
Nagpur,CNN-BiLSTM,A,,,17.0,0.5603,29.15,43.56,48.2,1.567,,,,,80700.0,
Pune,CNN-BiLSTM,A,,,17.0,0.1506,48.34,75.8,42.9,1.436,,,,,70466.0,
Singrauli,CNN-BiLSTM,A,,,14.0,0.3659,63.06,85.84,42.1,1.425,,,,,69506.0,
Surat,CNN-BiLSTM,A,,,17.0,-0.1853,72.25,97.38,18.8,0.865,,,,,26147.0,
Thane,CNN-BiLSTM,A,,,17.0,0.4562,27.41,35.23,33.3,0.78,,,,,20521.0,
Vapi,CNN-BiLSTM,A,,,17.0,-0.2064,64.35,84.1,35.8,1.274,,,,,58285.0,
bhopal,CNN-BiLSTM,A,,,17.0,0.5501,38.12,52.81,27.5,1.07,,,,,43515.0,
vishakhapattanam,CNN-BiLSTM,A,,,17.0,0.4627,40.45,62.82,22.8,0.969,,,,,34614.0,
Ahmedabad,RandomForest,B,19764.0,4236.0,70.0,0.7501,26.27,38.92,23.23,0.0434,,,,,,1.0
Ahmedabad,RandomForest,B,19761.0,4235.0,70.0,0.4759,41.69,56.38,22.96,0.0429,,,,,,6.0
Ahmedabad,RandomForest,B,19748.0,4233.0,70.0,0.4438,44.87,58.08,24.31,0.0428,,,,,,24.0
Chennai,RandomForest,B,30881.0,6618.0,71.0,0.6518,9.6,20.39,52.42,0.0633,,,,,,1.0
Chennai,RandomForest,B,30877.0,6618.0,71.0,0.2635,15.89,29.65,50.62,0.0532,,,,,,6.0
Chennai,RandomForest,B,30865.0,6615.0,71.0,0.1617,15.74,31.64,53.54,0.0633,,,,,,24.0
Delhi_NCR,RandomForest,B,54392.0,11656.0,72.0,0.9024,27.23,39.3,59.0,0.1441,,,,,,1.0
Delhi_NCR,RandomForest,B,54388.0,11656.0,72.0,0.7873,43.1,58.01,57.24,0.1137,,,,,,6.0
Delhi_NCR,RandomForest,B,54376.0,11652.0,72.0,0.7146,50.51,67.2,57.3,0.1138,,,,,,24.0
GandhiNagar,RandomForest,B,41041.0,8796.0,70.0,0.6409,16.1,24.87,58.25,0.1037,,,,,,1.0
GandhiNagar,RandomForest,B,41038.0,8795.0,70.0,0.3845,22.65,32.57,54.57,0.0937,,,,,,6.0
GandhiNagar,RandomForest,B,41025.0,8792.0,70.0,0.3695,22.8,32.96,54.87,0.094,,,,,,24.0
Hyderabad,RandomForest,B,76994.0,16500.0,72.0,0.6436,16.79,22.54,91.31,0.144,,,,,,1.0
Hyderabad,RandomForest,B,76990.0,16499.0,72.0,0.4418,22.33,28.2,86.89,0.1238,,,,,,6.0
Hyderabad,RandomForest,B,76978.0,16496.0,72.0,0.3358,24.48,30.75,94.86,0.1345,,,,,,24.0
Indore,RandomForest,B,30543.0,6546.0,72.0,0.8125,18.73,30.28,33.08,0.0742,,,,,,1.0
Indore,RandomForest,B,30540.0,6545.0,72.0,0.5896,28.32,44.81,32.22,0.0632,,,,,,6.0
Indore,RandomForest,B,30527.0,6543.0,72.0,0.5165,31.71,48.63,33.99,0.0735,,,,,,24.0
Jaipur,RandomForest,B,29624.0,6349.0,71.0,0.5049,31.27,43.26,36.92,0.0634,,,,,,1.0
Jaipur,RandomForest,B,29621.0,6348.0,71.0,0.3053,33.68,51.25,34.95,0.0633,,,,,,6.0
Jaipur,RandomForest,B,29608.0,6346.0,71.0,0.0921,42.79,58.6,35.39,0.0544,,,,,,24.0
Jodhpur,RandomForest,B,30329.0,6500.0,71.0,0.4586,48.87,66.89,32.79,0.0737,,,,,,1.0
Jodhpur,RandomForest,B,30326.0,6499.0,71.0,0.2576,58.38,78.34,33.53,0.0631,,,,,,6.0
Jodhpur,RandomForest,B,30313.0,6497.0,71.0,0.2326,60.76,79.66,32.95,0.0631,,,,,,24.0
Mumbai,RandomForest,B,38082.0,8162.0,72.0,0.5968,25.2,39.34,52.4,0.0733,,,,,,1.0
Mumbai,RandomForest,B,38079.0,8161.0,72.0,0.1911,38.38,55.73,52.45,0.0635,,,,,,6.0
Mumbai,RandomForest,B,38066.0,8158.0,72.0,-0.386,54.85,72.96,51.1,0.0632,,,,,,24.0
Mumbai_suburbs,RandomForest,B,15136.0,3245.0,71.0,0.8402,12.56,19.49,17.8,0.0431,,,,,,1.0
Mumbai_suburbs,RandomForest,B,15133.0,3244.0,71.0,0.6754,20.63,27.77,17.09,0.0428,,,,,,6.0
Mumbai_suburbs,RandomForest,B,15120.0,3241.0,71.0,0.5427,24.46,32.96,18.01,0.0431,,,,,,24.0
Nagpur,RandomForest,B,56489.0,12106.0,70.0,0.8624,16.41,24.38,77.58,0.1239,,,,,,1.0
Nagpur,RandomForest,B,56485.0,12105.0,70.0,0.6864,26.09,36.8,74.49,0.1141,,,,,,6.0
Nagpur,RandomForest,B,56473.0,12102.0,70.0,0.6169,29.4,40.67,78.72,0.1137,,,,,,24.0
Pune,RandomForest,B,49325.0,10571.0,64.0,0.4158,43.39,62.85,64.85,0.0633,,,,,,1.0
Pune,RandomForest,B,49322.0,10569.0,64.0,0.2203,52.91,72.62,64.0,0.0633,,,,,,6.0
Pune,RandomForest,B,49309.0,10567.0,64.0,0.0378,62.35,80.67,67.45,0.063,,,,,,24.0
Singrauli,RandomForest,B,48653.0,10427.0,64.0,0.6777,42.29,61.21,50.85,0.1137,,,,,,1.0
Singrauli,RandomForest,B,48650.0,10425.0,64.0,0.4803,59.12,77.73,51.47,0.0939,,,,,,6.0
Singrauli,RandomForest,B,48637.0,10423.0,64.0,0.4105,62.69,82.79,54.99,0.1035,,,,,,24.0
Surat,RandomForest,B,18302.0,3923.0,58.0,0.3555,41.21,71.71,17.95,0.0433,,,,,,1.0
Surat,RandomForest,B,18298.0,3922.0,58.0,0.157,53.12,82.01,17.81,0.0427,,,,,,6.0
Surat,RandomForest,B,18286.0,3919.0,58.0,0.1321,56.54,83.24,18.08,0.0435,,,,,,24.0
Thane,RandomForest,B,14363.0,3079.0,71.0,0.8512,11.32,18.42,15.47,0.0429,,,,,,1.0
Thane,RandomForest,B,14360.0,3078.0,71.0,0.6603,19.67,27.83,15.37,0.043,,,,,,6.0
Thane,RandomForest,B,14347.0,3076.0,71.0,0.5329,23.35,32.63,16.39,0.043,,,,,,24.0
Vapi,RandomForest,B,40798.0,8744.0,70.0,0.5235,36.71,52.95,43.34,0.0732,,,,,,1.0
Vapi,RandomForest,B,40795.0,8743.0,70.0,0.4124,43.38,58.8,42.83,0.0631,,,,,,6.0
Vapi,RandomForest,B,40782.0,8740.0,70.0,0.3409,45.94,62.27,43.32,0.0635,,,,,,24.0
bhopal,RandomForest,B,30459.0,6528.0,72.0,0.8162,21.39,33.72,34.73,0.0737,,,,,,1.0
bhopal,RandomForest,B,30456.0,6527.0,72.0,0.6561,31.19,46.14,33.8,0.0632,,,,,,6.0
bhopal,RandomForest,B,30443.0,6525.0,72.0,0.6216,33.43,48.4,34.32,0.0634,,,,,,24.0
vishakhapattanam,RandomForest,B,24229.0,5193.0,72.0,0.7712,25.65,40.9,26.42,0.063,,,,,,1.0
vishakhapattanam,RandomForest,B,24225.0,5192.0,72.0,0.5837,36.09,55.18,27.36,0.0536,,,,,,6.0
vishakhapattanam,RandomForest,B,24213.0,5189.0,72.0,0.5179,40.19,59.4,29.27,0.0631,,,,,,24.0
Ahmedabad,GradBoost,B,19764.0,4236.0,70.0,0.7398,26.07,39.72,62.23,0.0097,,,,,,1.0
Ahmedabad,GradBoost,B,19761.0,4235.0,70.0,0.5268,35.39,53.57,62.39,0.009,,,,,,6.0
Ahmedabad,GradBoost,B,19748.0,4233.0,70.0,0.4966,39.52,55.26,62.09,0.0094,,,,,,24.0
Chennai,GradBoost,B,30881.0,6618.0,71.0,0.5129,12.89,24.12,104.0,0.0136,,,,,,1.0
Chennai,GradBoost,B,30877.0,6618.0,71.0,0.3592,14.05,27.66,103.76,0.0133,,,,,,6.0
Chennai,GradBoost,B,30865.0,6615.0,71.0,0.1365,16.0,32.11,103.4,0.0135,,,,,,24.0
Delhi_NCR,GradBoost,B,54392.0,11656.0,72.0,0.9024,27.13,39.29,146.26,0.0264,,,,,,1.0
Delhi_NCR,GradBoost,B,54388.0,11656.0,72.0,0.7957,41.59,56.86,145.22,0.025,,,,,,6.0
Delhi_NCR,GradBoost,B,54376.0,11652.0,72.0,0.7287,47.74,65.52,146.01,0.0254,,,,,,24.0
GandhiNagar,GradBoost,B,41041.0,8796.0,70.0,0.6524,15.63,24.47,143.35,0.0199,,,,,,1.0
GandhiNagar,GradBoost,B,41038.0,8795.0,70.0,0.413,21.96,31.8,142.58,0.0193,,,,,,6.0
GandhiNagar,GradBoost,B,41025.0,8792.0,70.0,0.363,22.61,33.13,143.29,0.0191,,,,,,24.0
Hyderabad,GradBoost,B,76994.0,16500.0,72.0,0.6411,16.52,22.62,205.77,0.0367,,,,,,1.0
Hyderabad,GradBoost,B,76990.0,16499.0,72.0,0.4615,21.39,27.7,206.28,0.0344,,,,,,6.0
Hyderabad,GradBoost,B,76978.0,16496.0,72.0,0.4068,22.77,29.06,205.88,0.0353,,,,,,24.0
Indore,GradBoost,B,30543.0,6546.0,72.0,0.8229,18.37,29.43,87.38,0.0161,,,,,,1.0
Indore,GradBoost,B,30540.0,6545.0,72.0,0.5941,27.8,44.56,87.4,0.015,,,,,,6.0
Indore,GradBoost,B,30527.0,6543.0,72.0,0.5094,30.6,48.99,87.68,0.0155,,,,,,24.0
Jaipur,GradBoost,B,29624.0,6349.0,71.0,0.5538,28.3,41.07,107.75,0.0153,,,,,,1.0
Jaipur,GradBoost,B,29621.0,6348.0,71.0,0.3134,31.52,50.95,107.51,0.0147,,,,,,6.0
Jaipur,GradBoost,B,29608.0,6346.0,71.0,0.0302,41.9,60.57,107.48,0.0149,,,,,,24.0
Jodhpur,GradBoost,B,30329.0,6500.0,71.0,0.3763,54.07,71.79,96.69,0.0172,,,,,,1.0
Jodhpur,GradBoost,B,30326.0,6499.0,71.0,0.2716,56.63,77.59,97.13,0.0154,,,,,,6.0
Jodhpur,GradBoost,B,30313.0,6497.0,71.0,0.1266,67.86,84.98,96.88,0.0165,,,,,,24.0
Mumbai,GradBoost,B,38082.0,8162.0,72.0,0.5014,26.42,43.75,134.02,0.0173,,,,,,1.0
Mumbai,GradBoost,B,38079.0,8161.0,72.0,0.2481,33.97,53.73,134.22,0.017,,,,,,6.0
Mumbai,GradBoost,B,38066.0,8158.0,72.0,-0.3156,48.78,71.08,135.18,0.0169,,,,,,24.0
Mumbai_suburbs,GradBoost,B,15136.0,3245.0,71.0,0.838,12.28,19.62,50.14,0.0073,,,,,,1.0
Mumbai_suburbs,GradBoost,B,15133.0,3244.0,71.0,0.6535,21.17,28.69,50.05,0.0068,,,,,,6.0
Mumbai_suburbs,GradBoost,B,15120.0,3241.0,71.0,0.5024,26.13,34.38,50.51,0.0068,,,,,,24.0
Nagpur,GradBoost,B,56489.0,12106.0,70.0,0.8635,16.23,24.28,202.99,0.0274,,,,,,1.0
Nagpur,GradBoost,B,56485.0,12105.0,70.0,0.6988,24.86,36.06,202.82,0.0269,,,,,,6.0
Nagpur,GradBoost,B,56473.0,12102.0,70.0,0.6451,27.71,39.14,202.47,0.0266,,,,,,24.0
Pune,GradBoost,B,49325.0,10571.0,64.0,0.3695,41.47,65.3,156.39,0.0219,,,,,,1.0
Pune,GradBoost,B,49322.0,10569.0,64.0,0.3268,44.54,67.47,155.5,0.0214,,,,,,6.0
Pune,GradBoost,B,49309.0,10567.0,64.0,0.1857,51.54,74.22,156.29,0.0223,,,,,,24.0
Singrauli,GradBoost,B,48653.0,10427.0,64.0,0.6857,40.18,60.44,133.6,0.0247,,,,,,1.0
Singrauli,GradBoost,B,48650.0,10425.0,64.0,0.5187,54.42,74.8,133.44,0.0225,,,,,,6.0
Singrauli,GradBoost,B,48637.0,10423.0,64.0,0.4446,58.82,80.36,133.96,0.0241,,,,,,24.0
Surat,GradBoost,B,18302.0,3923.0,58.0,0.3737,37.84,70.68,46.31,0.0071,,,,,,1.0
Surat,GradBoost,B,18298.0,3922.0,58.0,0.224,45.5,78.69,46.1,0.007,,,,,,6.0
Surat,GradBoost,B,18286.0,3919.0,58.0,0.1399,50.15,82.86,46.22,0.0068,,,,,,24.0
Thane,GradBoost,B,14363.0,3079.0,71.0,0.8498,11.27,18.51,47.91,0.007,,,,,,1.0
Thane,GradBoost,B,14360.0,3078.0,71.0,0.6796,18.87,27.03,47.75,0.0067,,,,,,6.0
Thane,GradBoost,B,14347.0,3076.0,71.0,0.5743,22.1,31.15,47.77,0.0065,,,,,,24.0
Vapi,GradBoost,B,40798.0,8744.0,70.0,0.5239,35.75,52.92,107.84,0.0201,,,,,,1.0
Vapi,GradBoost,B,40795.0,8743.0,70.0,0.424,42.58,58.21,107.72,0.0184,,,,,,6.0
Vapi,GradBoost,B,40782.0,8740.0,70.0,0.2877,46.69,64.74,107.51,0.0185,,,,,,24.0
bhopal,GradBoost,B,30459.0,6528.0,72.0,0.8192,20.61,33.45,87.79,0.0156,,,,,,1.0
bhopal,GradBoost,B,30456.0,6527.0,72.0,0.6695,29.55,45.23,87.85,0.0148,,,,,,6.0
bhopal,GradBoost,B,30443.0,6525.0,72.0,0.6144,32.25,48.86,87.59,0.0147,,,,,,24.0
vishakhapattanam,GradBoost,B,24229.0,5193.0,72.0,0.7719,25.25,40.84,68.01,0.0133,,,,,,1.0
vishakhapattanam,GradBoost,B,24225.0,5192.0,72.0,0.6039,34.71,53.83,68.05,0.0121,,,,,,6.0
vishakhapattanam,GradBoost,B,24213.0,5189.0,72.0,0.5276,38.94,58.8,67.99,0.0123,,,,,,24.0
Ahmedabad,XGBoost,B,19764.0,4236.0,70.0,0.7179,26.98,41.36,4.53,0.0629,,,,,,1.0
Ahmedabad,XGBoost,B,19761.0,4235.0,70.0,0.5112,37.54,54.44,4.52,0.0128,,,,,,6.0
Ahmedabad,XGBoost,B,19748.0,4233.0,70.0,0.3803,44.8,61.31,4.74,0.0639,,,,,,24.0
Chennai,XGBoost,B,30881.0,6618.0,71.0,0.5255,10.84,23.8,4.7,0.0694,,,,,,1.0
Chennai,XGBoost,B,30877.0,6618.0,71.0,0.2997,13.83,28.92,4.81,0.0681,,,,,,6.0
Chennai,XGBoost,B,30865.0,6615.0,71.0,0.2147,14.81,30.62,4.91,0.0672,,,,,,24.0
Delhi_NCR,XGBoost,B,54392.0,11656.0,72.0,0.903,27.04,39.17,5.27,0.0755,,,,,,1.0
Delhi_NCR,XGBoost,B,54388.0,11656.0,72.0,0.7947,41.9,56.99,5.21,0.0761,,,,,,6.0
